City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Lata,PT,40.1629,-8.3327,80.49,46,36,13.33,scattered clouds
332,Bagepalli,IN,13.7847,77.7931,81.61,62,94,1.92,overcast clouds
333,Shiyan,CN,32.6475,110.7781,71.85,61,98,5.39,overcast clouds
334,Halifax,CA,44.6453,-63.5724,71.46,69,93,5.75,overcast clouds
335,Vulcan,RO,45.3833,23.2667,63.63,73,100,1.86,overcast clouds
336,Flinders,AU,-34.5833,150.8552,50.38,85,68,9.48,broken clouds
337,Baker City,US,44.7749,-117.8344,70.65,81,0,0.0,clear sky
338,Ostrovnoy,RU,68.0531,39.5131,45.12,77,100,17.83,overcast clouds
339,Kailua,US,21.4022,-157.7394,77.02,93,65,3.0,broken clouds
340,Quixada,BR,-4.9714,-39.0153,93.18,33,26,10.07,scattered clouds
341,Akdagmadeni,TR,39.6603,35.8836,73.99,50,35,15.26,scattered clouds
342,Sola,VU,-13.8833,167.55,80.08,74,87,10.22,overcast clouds
343,Malpe,IN,13.35,74.7167,81.7,85,100,3.33,overcast clouds
344,Cidreira,BR,-30.1811,-50.2056,59.95,61,9,5.59,clear sky
345,Seminole,US,28.7086,-81.2081,89.2,75,20,5.75,few clouds
346,Paamiut,GL,61.994,-49.6678,42.24,97,28,17.02,scattered clouds
347,Daru,PG,-9.0763,143.2092,77.76,90,89,11.43,overcast clouds
